Origin;Destination;Number;
Архангельская;Акмолинская;42;
Астраханская;Акмолинская;590;
Бессарабская;Акмолинская;232;
Виленская;Акмолинская;225;
Витебская;Акмолинская;923;
Владимирская;Акмолинская;733;
Вологодская;Акмолинская;318;
Волынская;Акмолинская;368;
Воронежская;Акмолинская;5027;
Вятская;Акмолинская;1849;
Гродненская;Акмолинская;255;
Войска_Донского;Акмолинская;2458;
Екатеринославская;Акмолинская;992;
Казанская;Акмолинская;2431;
Калужская;Акмолинская;336;
Киевская;Акмолинская;1305;
Ковенская;Акмолинская;303;
Костромская;Акмолинская;258;
Курляндская;Акмолинская;116;
Курская;Акмолинская;2153;
Лифляндская;Акмолинская;341;
Минская;Акмолинская;171;
Могилёвская;Акмолинская;350;
Московская;Акмолинская;329;
Нижегородская;Акмолинская;616;
Новгородская;Акмолинская;110;
Олонецкая;Акмолинская;39;
Оренбургская;Акмолинская;3874;
Орловская;Акмолинская;3357;
Пензенская;Акмолинская;5326;
Пермская;Акмолинская;8744;
Подольская;Акмолинская;689;
Полтавская;Акмолинская;21763;
Псковская;Акмолинская;242;
Рязанская;Акмолинская;1054;
Самарская;Акмолинская;19184;
Санкт-Петербургская;Акмолинская;415;
Саратовская;Акмолинская;6515;
Симбирская;Акмолинская;1426;
Смоленская;Акмолинская;532;
Таврическая;Акмолинская;458;
Тамбовская;Акмолинская;1934;
Тверская;Акмолинская;171;
Тульская;Акмолинская;926;
Уфимская;Акмолинская;1982;
Харьковская;Акмолинская;3529;
Херсонская;Акмолинская;793;
Черниговская;Акмолинская;10666;
Эстляндская;Акмолинская;78;
Ярославская;Акмолинская;66;
Варшавская;Акмолинская;153;
Калишская;Акмолинская;33;
Келецкая;Акмолинская;22;
Ломжинская;Акмолинская;62;
Люблинская;Акмолинская;44;
Петроковская;Акмолинская;23;
Плоцкая;Акмолинская;36;
Радомская;Акмолинская;37;
Сувалкская;Акмолинская;26;
Седлецкая;Акмолинская;88;
Бакинская;Акмолинская;14;
Дагестанская;Акмолинская;25;
Елизаветпольская;Акмолинская;15;
Карсская;Акмолинская;15;
Кубанская;Акмолинская;510;
Кутаисская;Акмолинская;33;
Ставропольская;Акмолинская;339;
Терская;Акмолинская;54;
Тифлисская;Акмолинская;54;
Черноморская;Акмолинская;21;
Эриванская;Акмолинская;26;
Амурская;Акмолинская;49;
Енисейская;Акмолинская;157;
Забайкальская;Акмолинская;70;
Иркутская;Акмолинская;180;
Приморская;Акмолинская;160;
Сахалин;Акмолинская;0;
Тобольская;Акмолинская;18415;
Томская;Акмолинская;1436;
Якутская;Акмолинская;34;
Закаспийская;Акмолинская;29;
Самаркандская;Акмолинская;89;
Семипалатинская;Акмолинская;3793;
Семиреченская;Акмолинская;602;
Сырдарьинская;Акмолинская;278;
Тургайская;Акмолинская;351;
Уральская;Акмолинская;44;
Москва;Акмолинская;176;
Санкт-Петербург;Акмолинская;272;
Одесса;Акмолинская;89;
Варшава;Акмолинская;75;
Ферганская;Акмолинская;52;
Архангельская;Амурская;42;
Астраханская;Амурская;808;
Бессарабская;Амурская;52;
Виленская;Амурская;65;
Витебская;Амурская;58;
Владимирская;Амурская;223;
Вологодская;Амурская;73;
Волынская;Амурская;70;
Воронежская;Амурская;1417;
Вятская;Амурская;953;
Гродненская;Амурская;60;
Войска_Донского;Амурская;1994;
Екатеринославская;Амурская;775;
Казанская;Амурская;407;
Калужская;Амурская;70;
Киевская;Амурская;175;
Ковенская;Амурская;67;
Костромская;Амурская;110;
Курляндская;Амурская;33;
Курская;Амурская;146;
Лифляндская;Амурская;73;
Минская;Амурская;59;
Могилёвская;Амурская;131;
Московская;Амурская;157;
Нижегородская;Амурская;871;
Новгородская;Амурская;63;
Олонецкая;Амурская;39;
Оренбургская;Амурская;315;
Орловская;Амурская;343;
Пензенская;Амурская;199;
Пермская;Амурская;1823;
Подольская;Амурская;86;
Полтавская;Амурская;10287;
Псковская;Амурская;29;
Рязанская;Амурская;170;
Самарская;Амурская;1874;
Санкт-Петербургская;Амурская;156;
Саратовская;Амурская;633;
Симбирская;Амурская;713;
Смоленская;Амурская;87;
Таврическая;Амурская;99;
Тамбовская;Амурская;5405;
Тверская;Амурская;71;
Тульская;Амурская;173;
Уфимская;Амурская;382;
Харьковская;Амурская;384;
Херсонская;Амурская;160;
Черниговская;Амурская;508;
Эстляндская;Амурская;7;
Ярославская;Амурская;57;
Варшавская;Амурская;86;
Калишская;Амурская;12;
Келецкая;Амурская;11;
Ломжинская;Амурская;9;
Люблинская;Амурская;13;
Петроковская;Амурская;14;
Плоцкая;Амурская;13;
Радомская;Амурская;44;
Сувалкская;Амурская;37;
Седлецкая;Амурская;24;
Бакинская;Амурская;16;
Дагестанская;Амурская;9;
Елизаветпольская;Амурская;7;
