Short;Full
Акмолинская;Акмолинская область
Архангельская;Архангельская губерния
Астраханская;Астраханская губерния
Бессарабская;Бессарабская губерния
Виленская;Виленская губерния
Витебская;Витебская губерния
Владимирская;Владимирская губерния
Вологодская;Вологодская губерния
Волынская;Волынская губерния
Воронежская;Воронежская губерния
Вятская;Вятская губерния
Гродненская;Гродненская губерния
Войска_Донского;Область Войска Донского
Екатеринославская;Екатеринославская губерния
Казанская;Казанская губерния
Калужская;Калужская губерния
Киевская;Киевская губерния
Ковенская;Ковенская губерния
Костромская;Костромская губерния
Курляндская;Курляндская губерния
Курская;Курская губерния
Лифляндская;Лифляндская губерния
Минская;Минская губерния
Могилёвская;Могилёвская губерния
Московская;Московская губерния
Нижегородская;Нижегородская губерния
Новгородская;Новгородская губерния
Олонецкая;Олонецкая губерния
Оренбургская;Оренбургская губерния
Орловская;Орловская губерния
Пензенская;Пензенская губерния
Пермская;Пермская губерния
Подольская;Подольская губерния
Полтавская;Полтавская губерния
Псковская;Псковская губерния
Рязанская;Рязанская губерния
Самарская;Самарская губерния
Санкт-Петербургская;Санкт-Петербургская губерния
Саратовская;Саратовская губерния
Симбирская;Симбирская губерния
Смоленская;Смоленская губерния
Таврическая;Таврическая губерния
Тамбовская;Тамбовская губерния
Тверская;Тверская губерния
Тульская;Тульская губерния
Уфимская;Уфимская губерния
Харьковская;Харьковская губерния
Херсонская;Херсонская губерния
Черниговская;Черниговская губерния
Эстляндская;Эстляндская губерния
Ярославская;Ярославская губерния
Варшавская;Варшавская губерния
Калишская;Калишская губерния
Келецкая;Келецкая губерния
Ломжинская;Ломжинская губерния
Люблинская;Люблинская губерния
Петроковская;Петроковская губерния
Плоцкая;Плоцкая губерния
Радомская;Радомская губерния
Сувалкская;Сувалкская губерния
Седлецкая;Седлецкая губерния
Бакинская;Бакинская губерния
Дагестанская;Дагестанская область
Елизаветпольская;Елизаветпольская губерния
Карсская;Карсская область
Кубанская;Кубанская область
Кутаисская;Кутаисская губерния
Ставропольская;Ставропольская губерния
Терская;Терская область
Тифлисская;Тифлисская губерния
Черноморская;Черноморская губерния
Эриванская;Эриванская губерния
Амурская;Амурская область
Енисейская;Енисейская губерния
Забайкальская;Забайкальская область
Иркутская;Иркутская губерния
Приморская;Приморская область
Сахалин;Сахалин
Тобольская;Тобольская губерния
Томская;Томская губерния
Якутская;Якутская область
Закаспийская;Закаспийская область
Самаркандская;Самаркандская область
Семипалатинская;Семипалатинская область
Семиреченская;Семиреченская область
Сырдарьинская;Сырдарьинская область
Тургайская;Тургайская область
Уральская;Уральская область
Москва;Москва 
Санкт-Петербург;Санкт-Петербург 
Одесса;Одесса 
Варшава;Варшава 
Ферганская;Ферганская область
